,text
527,Thank you my friend.. missed you too much at home during the party.. keep on Singing!! Love you https://t.co/XybMCO9qKt
528,Thank you so much Akki for the birthday wishes and your stamp of approval for the trailer means the world to us..My… https://t.co/JKOwS8pa9u
529,Ma ko Thank you kehna aashirwad ke liye.. love you https://t.co/JNpz1PM8UM
530,जिसका फ़िल्मों में father Anupam Kher हो उसको Godfather की क्या ज़रूरत. Love you too much Daddy cool!! https://t.co/YFVfYHu6Xl
531,"Thank you so much my friend. To greater, happier moments and sixers in life! https://t.co/HcstVJmj4d"
532,Thank you Bhai. Tu bol raha hain toh sach hi hoga. Tere mooh main Ghee shakar aur Gucci. https://t.co/ZzGj1rJ1Ln
533,Aapne banaye 300 se zyada ya Zero. Aap humesha rahoge humare Hero.. Thank you https://t.co/9NSpR0rC8g
534,Thank you.. my feeling exactly for you... can’t wait to see you again and again and again.. https://t.co/5KIAynchnI
535,Thank you Thug Bhai for your love. Keep ‘Vashmalleing’ all your life (to song and dance with happiness) @aamir_khan https://t.co/xdQGXTyhlM
536,Indian sporting history wouldn’t be so proud if it wasn’t for you. Thank you my friend @sachin_rt https://t.co/FsFeSIibke
537,"Thank u sir,for making us a part of your fantastic endeavour.The video is so cool. All the best to all participants. https://t.co/8CCsAPbWQp"
538,That hammock in the video is mine!!! U guys stole it!!by the way house looks lovely..but the hammock..damn!  https://t.co/51H1gJ9HDq
539,Arre pehle bana dete toh humein itni mehnat nahi karni Padhti. Very sweet. Now AbRam will lov the film even more. https://t.co/uTRW6eCAEY
540,@Riteishd jab chota bhai bahut bada ho jaata hai. Thank you baby for the love respect and largesse of heart you sho… https://t.co/vIDJlDZjEM
541,"Ab aaya sach baahar. Dekhiye poori baat jaan ne ke liye. #ZeroKaSach
@anushkasharma #KatrinaKaif @aanandlrai… https://t.co/vTWryprdSZ"
542,Arre yaar suddenly missing lil Aryan.  https://t.co/edwifo4iFo
543,Love you the mostestest. Thank u for bearing with all my wrongness…always https://t.co/RaBJTB5b0k
544,RT @RedChilliesEnt: 54 Million in 24 hours! Thank you so much for watching and loving the trailer! @iamsrk @AnushkaSharma #KatrinaKaif @aan…
545,Thank you all for indulging me. Had loads of fun talking about #ZeroTrailer and will make sure all the good questio… https://t.co/TSzubkTvrn
546,"Bhai Bauua Singh...Baar Baar karo...Lagataar Karo. Waqt kum ho toh humein bula lena, thodi madad kar denge. Pyaar m… https://t.co/u2vv69CFZi"
547,I do. https://t.co/ICylPL6rjQ
548,Ha ha. Love u https://t.co/XHxIFyEqZ5
549,Jumme ke Jumme naha liya karo yaar...hum bhi nahate hain...Gamcha tumhei bhej rahe hain phir bhi. #ZeroTrailer https://t.co/lxV9kc5gcZ
550,Depends how big is your heart!! #ZeroTrailer https://t.co/hBxADj6ZQz
551,Bhaiyya main thoda aapka baaki Hindustan ka Bauua hoon! #ZeroTrailer https://t.co/XMzGr1eh5U
552,Yaar tum Flashdrives Digital Zamaane mein bhi Records pe atke hue ho. #ZeroTrailer https://t.co/CWOTihvWJu
553,‘Bhai’ se badhkar kya ho sakta hai for someone like me who lost his parents so early in life. Best way to describe… https://t.co/z6apMkn6eg
554,Too much to explain in a word limit reply. Will put out a video as to how we went about it. Harry&amp; Keiten and Red c… https://t.co/1URb1833Qm
555,Thank you. I will tell Bauua Singh to do lip synch...don’t know if he can do the dance in synch though. #ZeroTrailer https://t.co/ycRqIz0KMA
556,God bless you both. Happy marriage. #ZeroTrailer https://t.co/qtyo4fIyQ1
557,Very sketchy!! Loved it. https://t.co/WvgzTsBJ1F
558,Same as jab sabki hoti hai...DamAge mein. #ZeroTrailer https://t.co/VEPfC95lVd
559,Gulaab Jaamun sorry Two ho gaye. https://t.co/cZe0T219v8
560,I hope u start believing you are Bauua...he is all of us. #ZeroTrailer https://t.co/LDvt0pFWEU
561,Abe na. Madam ka design taste aur Bauua ka match nahi karta!! “Srk ko Mannat mubarak hum toh Jannat ke khwaab dekht… https://t.co/zbyi7zg5k9
562,The only 3D Bauua knows are...Deen..Duniya...Daulat... no it won’t release in 3D...the glasses don’t match his dres… https://t.co/nNFzrqQ9BH
563,Arre yaar...53 ho jayein toh maza aur bhi aaye. #ZeroTrailer https://t.co/DyNkIZP93E
564,“Shuru se shuru karte hain” https://t.co/OsKEl1Qa4B
565,Zindagi kaatni kise thi humein toh jeeni thi..Himanshu Sharma ki jai ho! #ZeroTrailer https://t.co/dSkil6I2Wz
566,Was a bit chilli!!! https://t.co/13V1Abncc3
567,"Bahut saari aayin, itni ki bata nahi Sakta. Par sab bahut zor se aayin. #ZeroTrailer https://t.co/ma9DSb7lGd"
568,I said na...Humne toh ‘chaandon’ ko kareeb se dekha hai. Lucky to have had Katrina and Anushka in the film. Extreme… https://t.co/WiRUvTrQSY
569,Yes yes par baahar ladkiyon ke saath bread pakora Kha raha tha. #ZeroTrailer https://t.co/pTkhF4WTAK
570,My friend the absolutely wonderful Aamir Khan. He said...’Oye..!!!’ #ZeroTrailer https://t.co/pt6AWX4wgM
571,Yeh Kaise Hoga? It’s so difficult..let’s do it!!! https://t.co/vksTkSvwO9
572,Bauua has a purer heart... https://t.co/e2Fhx0DYY2
573,Pehle trailer toh hazam kar lo gaane bhi aa hi jayenge. T Series se ho kya??!! https://t.co/GcJqAlMW9A
574,@aanandlrai and Himanshu Sharma’s belief in the subject. https://t.co/6SJCIrwgkx
575,Bhai ye poocho Bauua kis kis ko saath le jaata hai! Umeed hai aap bhi saath aaoge? https://t.co/ybcU6we4Cj
576,Feeling a bit happy about Bauua and #ZeroTrailer so thought will do an #AskSrk for any questions you may have about… https://t.co/SNiRW8Ws5Z
577,"#ZeroTrailer ko itna saaraa pyaar dene ke liye aap sabhi logon ka dilse shukriya!Chote aadmi ko itna bada bana diya 
https://t.co/l0QUPvvybX"
578,"Meerut se nikla hai, atrangi iski chaal hai,
Koi chhoti cheez na samajhna, yeh Bauua toh Bawaal hai!… https://t.co/AN98QEAzQq"
579,I believe ownership makes one very small. I believe I am the luckiest man that I no longer own my Birthday also...i… https://t.co/cnJv5dxrMF
580,Working in progression… hoping to bring the table! https://t.co/gtYFJ11cXo
581,Fed cake to wife...Met my family of fans outside Mannat...now playing Mono Deal with my lil girl gang! Having a Hap… https://t.co/7Y6C0ZLHlI
582,"Like always whenever I act with you, I want to thank u for making me a better actor my friend! Love you my Guddu!  https://t.co/xu9tHDkEAp"
583,Isn’t she the warmest and kindest! My friend...Thanks for bringing Zero to life! https://t.co/I0HKPiznAH
584,Isn’t she the most beautiful!!! My friend with the loveliest heart...thanks for making Zero come true. https://t.co/5dt4C6EptR
585,Hug from the Thug....!! Beat that! https://t.co/4h0LD0qq1g
586,"Sitaaron ke khwaab dekhne walon, humne toh chaand ko kareeb se dekha hai.
#ZeroPoster
#KatrinaKaif @aanandlrai… https://t.co/i3MkehbpHY"
587,"Iss poori duniya mein, meri barabari ki ek hi toh hai...

#ZeroPoster

@AnushkaSharma @aanandlrai @RedChilliesEnt… https://t.co/hnPvXifOzx"
588,I just feel like thanking all of u making this journey to Mumbai to wish me &amp; be with me on my B’Day. Please be safe &amp; Love u all.
589,I am ok to die of excess...I welcome starving because of want....just don’t let me succumb to an accident with mediocrity!
590,".@BauuaSingh Suna hai tum jiske peeche lag jaate ho, life bana dete ho... tumhare peeche koi lag jaaye toh kya bana… https://t.co/vOM0zQPCgp"
591,".@BauuaSingh meri mummy kehti thi aadmi kapde banata hai, kapde aadmi ko nahi! Aapki DP dekh ke lagta hai ki saat j… https://t.co/JiGM58nwvy"
592,"I'm in. Are you?

Sign up: https://t.co/QF3HYKLef2

#Dubai30x30 #MyDubai https://t.co/jBkXgx9sk5"
593,"A special journey that began 23 years ago, goes on even today. Your love has kept Raj &amp; Simran's story alive on the… https://t.co/OQiWNkx90a"
594,Thank you @HyundaiIndia for the wonderful relationship we've shared over these 20 years. I am inspired by the Techn… https://t.co/EORnZJUlwx
595,Varun you have made India proud. I wish you lots of success! #LetsGetInspired https://t.co/gXc6JPb2AE
596,"No reason..no information...nothing to share, just ‘feeling good about life after a bath’ selfie... https://t.co/I0ZB3uFFau"
597,Spent a few hours with the prides of India...Hockey &amp; @arrahman and the talented #ravivarman Thank u the whole team… https://t.co/3pUlwMh1bR
598,A proud moment for both Manish Narwal and Singhraj as they win a Gold and Silver respectively in mixed 50m free pis… https://t.co/kBNIQEoULF
599,Many congratulations to Paramjeet Kumar and Farman Basha for winning Silver medals in Men's upto 49kg in powerlifti… https://t.co/czKt7tKP43
600,Proud of you Amit for bagging the Gold medal in Club Throw. It is amazing that you bounced back to continue after s… https://t.co/cJHFH861Iq
601,I look up to you Deepa ji. Your resilience has been an eye-opener for many including me. Congrats!! https://t.co/X0m0W4KVt6
602,This is one of the most exciting stuff Red Chillies &amp; ur team is doing my man. Love to u all. https://t.co/gKlUM7xYig
603,Ha ha… I know him. He’s the one they call  Cloud Nine https://t.co/SzMZFxst8l
604,Thank u sir.The pleasure is all mine &amp; look forward to being in Odisha &amp; millions of heart beating for Indian Hockey https://t.co/O3vGAFmC5y
605,"Neki aur pooch pooch? Mujhe bolne ki der hai mere bhai, main koodh kar pahunch jaoonga! I wish u and our team the b… https://t.co/7J316RPrxq"
606,"Glad you made Hansraj and India proud! Truly motivational...
#LetsGetInspired https://t.co/B55WdtCw3G"
607,Most certainly would love to do it &amp; meeting u will be a privilege. Will put my team to schedule it sooner than soon https://t.co/hX9b0ghJxL
608,Extremely glad for Arpita and @aaysharma... love and success to u now and always! #Loveyatri
609,"Kyunki desh humse hai aur hum desh se...
@SwachhBharatGov @PMOIndia #SwachhBharat #MyCleanIndia https://t.co/sDNmrF5ume"
610,Ek kadam swachhata ki oar... @SwachhBharatGov @PMOIndia #MyCleanIndia #SwachhBharat https://t.co/x6WGwYElgk
611,Milkar karein apne Raashtrapita aur apne Pradhan Mantriji ke ek #SwachhBharat ke sapne ko saakaar.… https://t.co/z8GqVkwqU9
612,Glad to get my hands on the latest iPhone! Thank you @Apple ... really enjoying the amazing Portrait Lighting.… https://t.co/Sq4YHyzqot
613,Thx to the Paralympic Committee of India &amp; Mr. Rao  to allow me to get inspired by the Paralympic Contingent of boy… https://t.co/INPxcm6Djf
614,@anupamkher wow mere dost. “Daddy cool is like oh Potchi oh Koka oh Bobi Oh Lola”!! All the best &amp; be happy always. https://t.co/YKxkuSRH2G
615,Saw bits of this extremely well-crafted film. A genre we normally don’t push boundaries in. Wishing my friends the… https://t.co/YvsZ64nfHY
616,Me for She. https://t.co/6PsXaxyfyU
617,May we come good &amp; more importantly may goodness guide our way &amp; our baby steps.  https://t.co/KDsVLG2yiI
618,@AnushkaSharma challenge done my way. Love u and all the best for Sui Dhaaga. May everyone’s hard work &amp; belief be… https://t.co/jvSyokbDYh
619,Well done Champion. You all deserved to win. https://t.co/gpBTUZmOeN
620,Well done Champion. So proud of u and wish u the best for everything u do.  https://t.co/EVEKvxmbWV
621,Absolutely!!! https://t.co/bzRykG1SUF
622,Wow wow wow. Wish I was there 2 party with my boys!!! Lov u Trinidad &amp;Tobago &amp; congratulations for the team...the c… https://t.co/FcGSxBD52n
623,"Our Ganpati ‘Pappa’ is home, as the lil one calls him. https://t.co/G7pSAgeQlj"
624,Sunday afternoon...for no apparent reason...feel like being a Parent Philosopher. This is to Thank the kids not to… https://t.co/P4Ct7WUqGo
625,I jumped even higher on my bed watching our team. Let’s do this… yay!!! https://t.co/qMr5Hdrhmj
626,Was thinking of spending the day at work. Now all cancelled cos Hippie is coming home..!!!Thx my friend for this wo… https://t.co/ZYNBstecui
627,"Papa kehte hain...

https://t.co/osPpxKtsB4"
628,Don’t you worry guys. The path maybe a bit more difficult...the resolve needs to get stronger. We will play like we… https://t.co/kUUhKuv8qU
629,Coming back home to change the game again. Now it’s time for Lego Blocks game  with AbRam. Thx London &amp; Economic Ti… https://t.co/RQMEdM5Zfc
630,Thank u all for the support in Trinidad &amp; Tobago. Missing the action music and madness in the stadium. Well played… https://t.co/MsYJGSnYkR
631,Will get back to work now. As always sorry couldn’t reply to u all but then so many requests for hugs and just a hi… https://t.co/PnGBFREeNj
632,Wow https://t.co/SM6uXk71Pe
633,Learning should be fun https://t.co/YgwwHxORQ7
634,Bless u https://t.co/DOTN67PlSN
635,Thank u https://t.co/6vqdZTBTQh
636,We both got old really fast! https://t.co/LgmGxjvrdF
637,Why clue etc? When I sign them will announce them. https://t.co/A0MbFbnBiL
638,Absolutely. https://t.co/S1NI8R7hFO
639,Apna kaam khud karo https://t.co/Uasz8hDOtd
640,Get back to work! https://t.co/SUH7Hidbel
641,I am more coffee types... https://t.co/uczCuYWsor
642,Maa ko pranaam dena. https://t.co/2Vaym1wZPi
643,Just pray that they stay on your head forever... https://t.co/liRvwdyAGF
644,Yes I hope it releases there soon. https://t.co/RltinjHFRB
645,Wow that sounds so intense. https://t.co/zoqxwY42pY
646,Thank u https://t.co/5REuhcyOJv
647,U make me sound like a double insulted Thermos! https://t.co/AGRd8Y1Wpi
648,Audience has to be happy not me. I just do my best and leave the rest... https://t.co/IF3GvXOuGG
649,Will shoot it in the last quarter of the year. https://t.co/8kpZSDDeXU
650,That’s sick!!! Ha ha https://t.co/wI01un2cJm
651,Har fikr ko dhuein mein udaata chala gaya...or is that politically incorrect to say on social media and all hell wi… https://t.co/dY8OgKatJO
652,Will do someday for sure. Give my love to all in Nigeria. https://t.co/81hvrz2qYu
653,Agar dil saaf ho toh end mein sab manage ho jaata hai... https://t.co/490Q6hsbBY
654,Somewhere between very well to fantastic.. https://t.co/ZmAzP5Ngjn
655,Don’t know about motivation. But working has become second nature to me. https://t.co/ArLUcS3RjI
656,Best of luck to you and all who are taking exams. https://t.co/W53zVlOn7W
657,No today. Am at home. Dimples booked by family already. https://t.co/qgeM625laL
658,Speculate on speculations. https://t.co/bU33DOg9f8
659,No no don’t do that. https://t.co/EBb7jKoZJH
660,Please come will make sure the cake is bigger. https://t.co/fqSAdZ546X
661,Oh no. Now my designer will get angry...repeating clothes! https://t.co/laPGB0MfQP
662,Oh oh yeh to Visa lene se pehle fix karna tha!! Disorganised you...!! https://t.co/ub58T2DVaU
663,AbRam just came and rubbed his sweaty face on my nose!!! https://t.co/Ij6DAxOVdk
664,Ok #AskSrk for 20 minutes. Warning: all questions may not be answered which does not mean I don’t love you all. It… https://t.co/gqi2rENi7a
665,Always wanted to do this myself. Never got down to it. Thank u so much. Extremely grateful and happy. https://t.co/nSsrGazMuH
666,You are the Force! Your love is the Force. Thank you. https://t.co/Zb6oFJeoYT
667,Happy Janmashtami to everyone. May the msg of love and happiness spread far and wide today and forever. https://t.co/X856j97FZt
668,It’s well worth keeping awake when our team @TKRiders plays such an all round game. Well done boys keep doing wot u… https://t.co/YCLWYqtpEU
669,What a lovely evening with these elegant ladies. The benefits of being in a tub with Lux soap! Thanks @lux_india https://t.co/Ozjw9UbaGt
670,This is how we play! Well done @TKRiders . Great team effort. https://t.co/yL6K1p9McD
671,"Raakhi done...with a promise in the family to respect all women. Respect for women will make u inspired, make u ten… https://t.co/RVm60dYI6L"
672,For us she is the Cover Mother… https://t.co/8nY89EEgX3
673,Thank u again.... https://t.co/82WYxfNbC1
674,Eid Mubarak to everyone. May Allah bless each and all with health and happiness. Thank u for coming home and making… https://t.co/W8cRznmLXF
675,Wow @manuz05 @DJBravo47 &amp; my boy @DMBravo46 u guys were fantastic. Best when I watch it from home!!  K Pierre well… https://t.co/w2Vhg3GkNs
676,"@resulp Sir, it’s the Duty &amp; Dharma of each one of us to stand by our brothers &amp; sisters in times of need. May Alla… https://t.co/IAPhjTlFnv"
677,"For The Poet Prime Minister of our country, love you Baapji...https://t.co/IKTYouMdiy https://t.co/kLO4JAHvNu"
678,"‘Tum hi Bhavishya ho mere Bharat Vishal ke, Iss Desh ko rakhna mere bachhon sambhaal ke...’ Happy Independence Day… https://t.co/a1ywOmkU2X"
679,ET coming home.... https://t.co/J7dIyxQhMc
680,Was a pleasure meeting you sir. Couldn’t say it then but one of my all time fav players. Please do say a big hello… https://t.co/LEL67cT73z
681,Thks for the love Trinidad &amp; Tobago. Wish could spend some more time with @TKRiders as they get on the road. Play w… https://t.co/gXlWITyomu
682,Shine on my young Knights! 22 medals at the World Children’s Winners Games in Moscow! Amazed. Love to all of u and… https://t.co/rPAE7BTNiM
683,Thank u this is so sweet. Will show it to AbRam.  https://t.co/oYOV6xnlSq
684,My friend and Captain @DJBravo47 Scores Swings Swags and Sings...This is how TKR play too.  https://t.co/MVtzrPtnvS
685,https://t.co/LjUvMsCOMh
686,Thank you @emaardubai ... was a delight to be there. https://t.co/UO67vvvbkO
687,The full poem I quoted yesterday... https://t.co/J3u6P1D8ap
688,"Thank u. Am so glad u felt she is congenial, gives me an opportunity to take credit for no reason. Love to u https://t.co/iRuLMuXtKd"
689,This too… https://t.co/SAwo6P4xyE
690,Holding her in my arms again thanks to Vogue. ‘What imperfect carriers of love we are...” except when it comes to o… https://t.co/UPavGkxRsf
691,My friend the multifaceted @dhanushkraja new film’s teaser. Very edgy &amp; intriguing. https://t.co/5mlf4F3Byq
692,@emraanhashmi Be! Be! Welcome aboard my friend. Here’s to a journey full of excitement &amp; drama.  https://t.co/ZQU7F3IhUc
693,The best message I think this pose has conveyed. Please please follow traffic rules. https://t.co/9lyFqj2ZB6
694,@jiteshpillaai Happy B’Day my friend. May u be healthy &amp; happy. Also hopefully hav less stress with star managers &amp;… https://t.co/X6L0lq1dpW
695,Good going my friend. Lots of love to u &amp; the entire team. Really looking forward to ur work…again. https://t.co/ig3V3BDN8I
696,Well done boys and girls. Goodness begets goodness. Thank u for loving the children. https://t.co/TT6MW2BDEZ
697,"@iam_juhi The love u, Bobby &amp; Mom, Aziz &amp; Ratanji gave me in this film gave me the confidence 2 b who I became.Lov u https://t.co/y7KDQsomQm"
698,NYTimes is carrying great news.. https://t.co/EaKjcaUYmZ
699,"There are so many lovely pictures of her, but this one speaks to me beyond my friends beauty....hope u all also giv… https://t.co/lydqpMdTmN"
700,It’s Katrina Kaif’s Birthday and we all at #Zero miss her!!! Maybe I should put a picture of her from the film and… https://t.co/gduYTG0hMC
701,Palat palat palat…Hi @ilynnraj sorry I should have hugged u too. Big hug now… and love. https://t.co/UOBYzXRH9B
702,Woke up and felt a genuine wave of Pride Love &amp; inspiration. What an amazing athlete you are...#HimaDas Kya Baat ha… https://t.co/rgtKd6oZDZ
703,"The women on the sets made us take this...and pyaar ही प्यार, बेशुमार हो गया। Through the windows to our souls...we… https://t.co/CpsNYwmNtl"
704,Now I will know what my boys are doing even in summer vacations! #KKRAcademy #KKRFamily #KKRHaiTaiyaar https://t.co/Dzw0EDovOc
705,And u will always be close to our hearts…u will always be the one jisne ‘Maar Daala!!’ https://t.co/UgGM7CLqYM
706,Arre yaar…let’s meet soon. It’s fun chatting with u always. https://t.co/RaOSzACWAr
707,Give them my love please.  https://t.co/piCGAEIFvL
708,Thank u this is so sweet.  https://t.co/dn9uVQhvKG
709,"@hannahgadsby thk u for  telling ur story. Strange to  just praise #Nanette as a show, but everyone do watch it to ‘feel’ a part of her life"
710,Thanks my friend for spreading the goodness. It’s important to inspire so many kids who look up to u as their hero. https://t.co/nTyGVSrrrr
711,After years the wife has allowed me to post a pic I have taken...she’s @gaurikhan all heart! https://t.co/QfAJajRlim
712,Thank u so much. Will see u all when I come to Peru someday. https://t.co/uprPayJ7Cu
713,We don’t keep photo albums anymore… but I will make an album just to keep this pic with the great man forever. https://t.co/gYN24yMNyk
714,Maybe being a little formal but have to thank...my dearest @gaurikhan for putting up 26yrs video.  @BilalS158… https://t.co/labpqmFjBZ
715,This journey is incomplete without u all. Here’s telling all of u who made this possible how happy u make me feel. https://t.co/UERsuXjTiw
716,All this is humbling and absolutely amazing. Thanks for making me the subject of your talent!  https://t.co/xRMUR7f7AT
717,This is done so well. Thank u Peru. My love to u all.  https://t.co/HFSmk2Cjn7
718,How time flies! Can't believe it's been 20 years since our journey began together @HyundaiIndia. #BrilliantMoments… https://t.co/vdT0DjPcxZ
719,My lov u r a pleasure 2 work with. Wouldn’t go on a journey like this without u. Miss u.Can v call u back for a day! https://t.co/XXEQVwgCpe
720,Uff this Maradona adds so much stress. Love the Nigerian team but have to have Argentina in the play offs. My Phews continue…
721,"Tomorrow will be exactly half a lifetime of being ‘others’. Expressing love,happiness, sadness,dancing,falling &amp; fl… https://t.co/VZIqiOdgdq"
722,My favourite teams are testing my blood pressure. Double phew Germany!!!
723,"Just…on a Rainy day. When u feel, u r Not the place of truth…when u feel sad…just remind urself, that this world is… https://t.co/q0noBo1DKS"
724,@anubhavsinha Dildaara Dildaara have a great day. Be healthy and happy my friend. Happy Birthday. My love to u.
725,Brazil….Phew!!!!
726,A film never finishes...but so many beautiful things come to an end around it. Thanks everyone for a very fruitful… https://t.co/Ii1YGQrcFb
727,Notwithstanding that the kids had no other option &amp; yeah I admit maybe there is just a hint of a bias here...this k… https://t.co/rPvRRIVKvN
728,Love is always only in the eyes….here’s all of ours to u on Eid. Eid Mubarak to everyone &amp; may ur families be happy… https://t.co/oroi4AUYPe
729,Thank u my friend. U appreciating &amp; smiling is the biggest compliment for the teaser. Will show u stuff soon. Love https://t.co/yZ0caLGK2I
730,A big thx to bro @BeingSalmanKhan &amp; @jaavedjaaferi &amp; @Harry0073 @vfx_redchillies &amp; @aanandlrai for  making the #Zero dream come alive.Dil Se
731,Join in at 7:30 pm tonight and watch the #ZeroTeaser across the Zee Network... https://t.co/5W3QvFWNXZ
732,"Our creativity is nothing Sir, if u r not there to put it all in order. U r the Bossman who gives us wings to fly!  https://t.co/npewAFbKiL"
733,Kitna accha hai. Sabko bahut bahut pyaar. My love and hugs to the babies. https://t.co/W77sSkTz83
734,Tell her to keep smiling. I will pray for her recovery fast.  https://t.co/lM2Rw1Mkv8
735,Thank u so much. U r kind &amp; it’s so nice to have appreciation from an absolutely AAA+++ actor like u. Love to u https://t.co/ZGmGt4yWos
736,The u Zee Group for everything u are doing for our film. Wanted it to premier on ur channel. Please all watch on Zee.https://t.co/s1aFMV4oeS
737,Yeh lo..yeh lo  @aanandlrai ki taraf se...Iss baar Eid Ka Meetha bahut Tez hai. To everyone from me and the whole t… https://t.co/XWLvZBB1rz
738,Waiting for the link to reach us so that we can put the Zero Teaser out. @aanandlrai &amp; me waiting on the streets of… https://t.co/RaoRuY9Loo
739,The strive for excellence is a lonely strife...mediocrity has no dearth of friends. Or as Alfred Lord Tennyson put… https://t.co/LUX8qD0WU0
740,"Was reading and came across this line....’ Life doesn’t come with a manual, it comes with a mother ‘ and then this… https://t.co/rYpmmyiCV8"
741,Ok work beckons. Will do this again soon. Thank u all for your time. Love to all
742,Thank u but my problem is opposite...I am always on a high! https://t.co/fsZXEY6ZHt
743,OMG OMG!! Better save AbRam’s clothes just for in case your dream comes true..kaam aa jayenge https://t.co/alixtVHmV6
744,@aanandlrai has made one for teaser for Eid. Hopefully u will all like it. https://t.co/TtihYdksFE
745,Suggest some haven’t had time for reading...&amp; Netflix is slowly taking over my time! https://t.co/2fuhEyWDGy
746,"Thank u for your support. KKR always tries their best. This year was good too...let’s see next year, Insha Allah https://t.co/kW1NxyJz6a"
747,"Would have been more helpful with her  if she was from Bandra, but all the best man https://t.co/Obz7RljSrY"
748,"Bhai ab Messi ko bhi wish karna padhe, aise din toh nahi aaye. He makes his own luck and goals. Best to him. https://t.co/CTsDsTboy6"
749,Not real...no animals or humans are hurt during my shootings!!! https://t.co/rEBSXSR630
750,Padhta hai... https://t.co/Q2GbyMHoZn
751,Close but won’t pass scrutiny!! https://t.co/mom8bTOFwE
752,Wish u the best https://t.co/5tmDLKPqYE
753,Love to u https://t.co/X3T3KmmSSX
754,Like I said I notice everything u all write and send https://t.co/hSWzd0w4Vy
755,Love u too https://t.co/aPYQSv1bSA
756,Would love for Armaan to do music for me.. https://t.co/12rDTHNHNz
757,I have three beautiful children and a lovely wife and sister..have no space for empty... https://t.co/TUnx1laomz
758,Have a good life https://t.co/rNDE1zHMlo
759,Wish u the best https://t.co/ky9BeHQ3VX
760,I would reply to u but I don’t know if u r appropriately and fashionably dressed for my reply... https://t.co/r33eNR3fbs
761,Main bhi usse bahut pyaar karta hoon... https://t.co/tkEkruA0mm
762,Please tell her not to fight... https://t.co/GNwfKP0LnF
763,I will pray for her https://t.co/n6J85HOFwn
764,Jahaan bhi honge Namaaz padh lenge aur sabko gale laga lenge https://t.co/LGJHGoMWdy
765,Aap sabko bhi Ramadan Mubarak... https://t.co/2A1Oo7ZKUW
766,His emotions fly... https://t.co/0nJvMHSMqk
767,Khush raho https://t.co/tQ7rldyND9
768,Love right back to man https://t.co/t6S9vYScMd
769,I know (sigh) kya Karoon... https://t.co/EwzlbH1msU
770,U should not ever equate your worth to money...u r precious in your own way however small or big...doors close for… https://t.co/YAg2CQkZ8f
771,One is to one I guess now that I have replied to you... https://t.co/LEQfjYX9Rv
772,Going good by God’s grace... https://t.co/shhJXw8hLu
773,Nahi abhi abhi uthaa hoon...in the coffee phase at the moment... https://t.co/4n4spfDnF5
774,Been busy with work so haven’t had a chat with you all for the longest time. Let’s do an #AskSRK for a bit...
775,As an actor I have always wondered how closely the expression for reminiscing matches the expression for looking fo… https://t.co/gwlppJpfCR
776,"Wishing my Captain @DineshKarthik the happiest of Birthday. Not because it is customary to do so, but because nobod… https://t.co/l60gQyFQbk"
777,My sunshine turns 5 yrs today but he thinks he is 9! Please don’t tell him otherwise if u meet him. Children should… https://t.co/wzLuymGQ7M
778,@DineshKarthik u r a fabulous leader. A special thanks to the management which made this possible despite naysayers… https://t.co/HYAKaEiUvS
779,Well was not to be. Will have to cancel my flight but KKR well done. U did yourself proud. All of u so so well done… https://t.co/3CfecV7xKT
780,Well done yourself mate &amp; keep making the noise in the changing room to keep the spirits high. C u soon https://t.co/QKeBw4RFLu
781,Thx again @DineshKarthik &amp; all u boys for the joy u r bringing to all of us. &amp; especially happy to see… https://t.co/akfxwY8eIY
782,RT @NokiamobileIN: The big win is near and the team needs your support. Send us your own creative cheer using #PlayUnited and tagging @Noki…
783,Missed talking to the fabulous boys from KKR...was getting ready for shoot. So in the middle of my shower sending… https://t.co/BmBlUMp27Y
784,"Like all daughters, I knew you were always meant for flying...and now u can also legally do what u have been doing… https://t.co/vvri2jIZWN"
785,Thank u Wangdi Bhutia for your love &amp; this honour. The whole KKR family will pray for ur success on this awesome jo… https://t.co/mCcg8QTvx8
786,Been awake 24hrs to see these smiles. Thx @DineshKarthik @prasidh43 (well done young man) @robbieuthappa ( v have t… https://t.co/PhOJv0PAOm
787,“Friday Night: Me u and my leather jacket...” Finally a chilly enough day to wear my jacket &amp; yeah 60’s kinda hairs… https://t.co/CGCuIPJDXD
788,"As much as I love my team, here’s the deal. I leave the cricket to u &amp; u leave the acting to me!! Ha ha https://t.co/lJ15cgEYxZ"
789,"RT @RedChilliesEnt: You’ve seen them smashing it on the field, now watch them rocking the screen - the @iamsrk style 😎 #KKRHaiTaiyaar

@KKR…"
790,Thank you Kolkata Fans for always being there. You are the best of the best in IPL. Last home game in the league so… https://t.co/JCW6ACmijA
791,And smiles to go...and keep from @DineshKarthik to me. Well done @imkuldeep18 with ball &amp; interviews. @lynny50 who… https://t.co/TdRdWJXtJE
792,Yes lets… https://t.co/vDOkpbEhqc
793,My Captain @DineshKarthik asked me to smile cos I was so disappointed at the match before. This pic is for him.  Th… https://t.co/rCJwKEKDah
794,Sports is about the spirit &amp; wins/losses don’t reflect that. But tonite as the ‘Boss’ I need to apologise to the fans for the lack of spirit
795,Kolkata see u at Eden. Let today’s cheer be the loudest for KKR. https://t.co/oEtKwYFR88
796,"I kind of know, how it feels when a piece of ur heart gets married. Danced &amp; celebrated love for daughters with my inspiration Anil Kapoor."
797,Go KKR!!
